theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2025,2025-01-13,15.3000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2025,2025-01-06,17.3300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-12-30,22.8700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-12-23,26.6600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-12-16,21.4000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-12-09,17.8100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-12-02,14.5800,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-11-25,10.1900,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-11-18,6.7300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-11-11,4.3600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-11-04,2.9600,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-10-28,2.7700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-10-21,3.0200,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-10-14,2.0800,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-10-07,2.1900,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-09-30,1.7100,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-09-23,1.3300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-09-16,1.2300,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-09-09,1.0700,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-09-02,0.9000,False
infectious_disease,respiratory,Influenza,Nation,England,influenza_testing_positivityByWeek,all,all,default,2024,2024-08-26,0.8800,False
